"責任","せきにん","duty, responsibility (incl. supervision of staff); liability, onus"
"健康","けんこう","health; healthy, sound, fit, wholesome"
"淡い","あわい","light, faint, pale, fleeting"
"戦士","せんし","soldier, combatant, warrior"
"特徴","とくちょう","feature, trait, characteristic, peculiarity, distinction"
"考え方","かんがえかた","way of thinking, point of view, opinion, approach (e.g. to a problem), attitude"
"方角","ほうがく","direction, way; point of the compass, cardinal direction, bearing; method, means, approach"
"","システム","system"
"近寄る","ちかよる","to approach, to draw near"
"欲望","よくぼう","desire, appetite, lust"
"撮る","とる","to take (a photograph); to record (audio or video), to film, to shoot"
"除く","のぞく","to remove, to get rid of, to take away, to eliminate; to exclude, to except, to leave out, to omit; to kill (a traitor, opponent, etc.)"
"一回","いっかい","once, one time, one round, one game, one bout, one heat, one inning"
"","スピード","speed"
"咄嗟に","とっさに","at once, immediately, instantly, in an instant, quickly, suddenly, on the spur of the moment"
"実行","じっこう","execution (e.g. of a plan), carrying out, (putting into) practice, action, implementation, fulfillment, realization; execution (of a program), run"
"竹","たけ, タケ","bamboo (any grass of subfamily Bambusoideae); middle (of a three-tier ranking system)"
"日記","にっき","diary, journal"
"稼ぐ","かせぐ","to earn (income), to make (money); to score (points, victory), to gain (time), to play (for time); to work hard (at one's job), to labor, to labour, to toil"
"何人か","なんにんか","some people, a number of people, several people, a few people"
"誤解","ごかい","misunderstanding"
"半年","はんとし, はんねん","half a year, six months"
"贈る","おくる","to give (as a gift), to present; to confer, to bestow, to award"
"関わる","かかわる","to be involved (in), to get involved (in), to concern oneself (with), to take part (in), to interfere (in); to relate to (a matter), to pertain to, to concern, to have to do with; to (seriously) affect, to concern, to have a serious bearing (on); to stick (to), to adhere (to), to be particular (about)"
"義務","ぎむ","duty, obligation, responsibility"
"探偵","たんてい","detective, investigator, sleuth; detective work, secret investigation"
"警視","けいし","police superintendent"
"指揮","しき","command, direction, supervision; conducting (an orchestra, choir, etc.)"
"提案","ていあん","proposal, proposition, suggestion"
"盆","ぼん","tray; family, household; Obon, Bon Festival, Lantern Festival, Festival of the Dead; gambler's den"
"食","しょく, じき, し","food, foodstuff; eating, appetite; meal, portion"
"中尉","ちゅうい","first lieutenant, lieutenant junior grade"
"巨人","きょじん","giant, great man; Tokyo Giants (baseball team)"
"訳がない","わけがない","there is no way that ...; easy, simple"
"季節","きせつ","season, time of year"
"一匹","いっぴき","one (small animal); two-tan bolt of cloth"
"幕","まく","curtain; act (in a play); falling of the curtain, end (of a scene); end, close; case, occasion, role (to play), part, place; makuuchi, top division"
"取材","しゅざい","gathering material (for an article, novel, etc.), collecting information, covering (an event, incident, etc.), reporting, interview (for a news story)"
"実家","じっか","(one's parents') home"
"指摘","してき","pointing out, identification"
"急","きゅう","sudden, abrupt, unexpected; urgent, pressing; steep, sharp, precipitous; rapid, swift, fast; emergency, crisis, danger; urgency, hurrying, haste; (in gagaku or noh) end of a song"
"離婚","りこん","divorce"
"同化","どうか","assimilation, absorption; adaptation; assimilation, anabolism; assimilation (phonology)"
"羅馬","ローマ","Rome"
"一致","いっち","agreement, accord, correspondence, consistency, coincidence, match; union, unity, cooperation"
"復讐","ふくしゅう","revenge"
"祖母","そぼ, ばば, おおば, おば, うば","grandmother"
"閣下","かっか","your Excellency, his Excellency, her Excellency"
"作用","さよう","action, operation, process, agency, effect, function"
"発言","はつげん","statement, remark, observation, utterance, speech, proposal"
"深夜","しんや","late at night"
"具体的","ぐたいてき","concrete, definite, specific, material, substantial"
"元より","もとより","from the beginning, from the first, all along, originally; of course; not to mention ..., not only ... but also ..., to say nothing of ..."
"嫁","よめ","bride; (one's) daughter-in-law; wife"
"","ホール","hall (dance, concert, etc.); dining area of a restaurant"
"糞","くそ, クソ","damn, damn it, shit, crap; feces, excrement, dung; damn, damned, blasted, stupid; very, extremely, really; terrible, awful, shit, crap; a lot; negligible, insignificant, not mattering at all, counting for nothing, hardly worth consideration, out of the question"
"成長","せいちょう","growth, development, growing up, becoming an adult; growth (of a company, the economy, etc.)"
"持ち出す","もちだす","to take out, to carry out, to bring out from where it belongs; to mention something, to broach a topic, to bring up (a subject), to raise (an issue), to mention"
"斜め","ななめ, なのめ","slanting, tilted, sloping, diagonal, oblique; distorted (feeling), slanted (e.g. view of the world), bad (mood), amiss, awry"
"掲げる","かかげる","to put up (a notice, sign, etc.), to hang out (e.g. a banner), to fly (e.g. a flag), to hoist, to raise, to display; to hold up high, to raise overhead; to tout (a principle, plan, etc.), to herald, to hold up (an ideal), to parade (e.g. a slogan); to publish, to print, to carry (e.g. an article); to tuck up (e.g. sleeves), to roll up; to stoke (a fire), to fan (a flame)"
"男子","だんし","boy; man, male"
"餌","えさ, え, エサ","(animal) feed, fodder, pet food; bait, lure, enticement"
"油","あぶら","oil"
"歩み","あゆみ","walking; pace, step; course (of history, one's life, etc.), history, progress, advance, development; pitch (of a screw, etc.)"
"脱出","だっしゅつ","escape, getting away (from), getting out (of); prolapse, proptosis"
"海岸","かいがん","coast, beach"
"神父","しんぷ","Catholic priest, abbe, reverend father, minister, padre"
"預かる","あずかる","to look after, to take care of, to keep, to hold on to, to keep in custody; to be put in charge of, to be given responsibility for, to be entrusted with; to withhold (an announcement), to reserve (judgment), to leave undecided; to take upon oneself (to do), to settle (a matter) oneself"
"一撃","いちげき","blow, hit, stroke"
"告白","こくはく","confession (to a crime, wrongdoing, etc.), admission; professing one's feelings (to someone one wants to go out with), declaration of love; profession (of faith); confession (of sins)"
"仏","ふつ","France"
"励む","はげむ","to work hard, to try hard, to strive, to endeavour, to endeavor, to devote oneself to, to make an effort, to be zealous"
"非難","ひなん","criticism, blame, censure, attack, reproach"
"将校","しょうこう","commissioned officer"
"軍人","ぐんじん","serviceman, servicewoman, soldier, member of the armed forces, military personnel"
"縄","なわ","rope, cord; policeman's rope"
"","かもしれん","may, might, perhaps, may be, possibly"
"写す","うつす","to copy, to duplicate, to reproduce, to trace, to transcribe; to describe, to depict, to portray, to express; to imitate, to model after; to take (a photo), to photograph, to film, to shoot"
"先ほど","さきほど","a short while ago, a moment ago, just now, some time ago"
"一二","いちに","the first and second, a few"
"魔力","まりょく","magical powers, supernatural powers, spell, charm"
"伊太利","イタリア, イタリヤ","Italy"
"社員","しゃいん","company employee; member of a corporation, company stockholder (esp. in legal contexts)"
"折","おり","opportunity, chance, occasion, time; folding, fold, pleat, crease; small food box (wooden or cardboard); folding in ... (two, three, etc.); counter for folded items; counter for items (esp. food) packed in an oribako"
"表す","あらわす","to represent, to signify, to stand for; to reveal, to show, to display; to express; to make widely known"
"恥","はじ, じょく","shame, embarrassment, disgrace"
"","したい","want to do"
"方々","かたがた","people, (all) persons, everyone, ladies and gentlemen; you (usu. plural)"
"都合","つごう","circumstances, condition, convenience; arranging, managing; lending money, raising money; in all, in total, all told"
"何処にも","どこにも","(not) anywhere, nowhere; everywhere, anywhere"
"","スイッチ, スウィッチ, スィッチ","switch; switch, points; switch (from one thing to another), change"
"処理","しょり","processing, dealing with, treatment, disposition, disposal"
"不機嫌","ふきげん","pout, displeasure, ill humor, ill humour, sullenness"
"喫茶店","きっさてん, きっちゃてん","coffee shop, tearoom, coffee lounge, coffeehouse, cafe"
"汽車","きしゃ","train (esp. long distance train); steam train"
"然うすれば","そうすれば","if so, in that case, in that situation"
